bg_document_id,bg_url,en_url,match_status,en_document_id
10523,https://dskbank.bg/бизнес-клиенти/моят-бизнес/пос-предложения/пос,https://dskbank.bg/en/business-clients/small-and-medium-business/pos-offers/pos-terminal-by-dsk-bank,MATCHED,10786.0
10522,https://dskbank.bg/бизнес-клиенти/моят-бизнес/пос-предложения/виртуален-пос,https://dskbank.bg/en/business-clients/small-and-medium-business/pos-offers/virtual-pos,MATCHED,10784.0
10530,https://dskbank.bg/бизнес-клиенти/моят-бизнес/планове/дск-хоризонт,https://dskbank.bg/en/business-clients/small-and-medium-business/plans/dsk-horizon,MATCHED,10789.0
10528,https://dskbank.bg/бизнес-клиенти/моят-бизнес/планове/дск-развитие,https://dskbank.bg/en/business-clients/small-and-medium-business/plans/dsk-development,MATCHED,10808.0
10529,https://dskbank.bg/бизнес-клиенти/моят-бизнес/планове/дск-прогрес,https://dskbank.bg/en/business-clients/small-and-medium-business/plans/dsk-progress,MATCHED,10810.0
10531,https://dskbank.bg/бизнес-клиенти/моят-бизнес/планове/дск-начало,https://dskbank.bg/en/business-clients/small-and-medium-business/plans/dsk-start,MATCHED,10811.0
10563,https://dskbank.bg/бизнес-клиенти/моят-бизнес/кредити/детайли-за-кредити/бизнес-клиенти/оборотни-кредити-с-обезпечение,https://dskbank.bg/en/business-clients/small-and-medium-business/loans-and-bank-guarantees/loan-details/business-clients/working-capital-financing-with-collateral,MATCHED,10822.0
10562,https://dskbank.bg/бизнес-клиенти/моят-бизнес/кредити/детайли-за-кредити/бизнес-клиенти/оборотни-кредити-без-обезпечение,https://dskbank.bg/en/business-clients/small-and-medium-business/loans-and-bank-guarantees/loan-details/business-clients/working-capital-financing-without-collateral,MATCHED,10821.0
10561,https://dskbank.bg/бизнес-клиенти/моят-бизнес/кредити/детайли-за-кредити/бизнес-клиенти/кредит-експерт,,UNMATCHED,
10564,https://dskbank.bg/бизнес-клиенти/моят-бизнес/кредити/детайли-за-кредити/бизнес-клиенти/инвестиционни-и-оборотни-кредити,https://dskbank.bg/en/business-clients/small-and-medium-business/loans-and-bank-guarantees/loan-details/business-clients/investment-loans,MATCHED,10825.0
10565,https://dskbank.bg/бизнес-клиенти/моят-бизнес/кредити/детайли-за-кредити/бизнес-клиенти/банкови-гаранции,https://dskbank.bg/en/business-clients/small-and-medium-business/loans-and-bank-guarantees/loan-details/business-clients/bank-guarantees,MATCHED,10828.0
16220,https://dskbank.bg/бизнес-клиенти/моят-бизнес/електронно-банкиране/мобилно-приложение-dsk-mcsign,https://dskbank.bg/en/business-clients/small-and-medium-business/electronic-banking/dsk-mc-sign-mobile-application,MATCHED,16219.0
10572,https://dskbank.bg/бизнес-клиенти/моят-бизнес/електронно-банкиране/мобилно-банкиране-dsk-business,https://dskbank.bg/en/business-clients/small-and-medium-business/electronic-banking/dsk-business-mobile-banking,MATCHED,10836.0
17075,https://dskbank.bg/бизнес-клиенти/моят-бизнес/електронно-банкиране/интернет-банкиране/възможности-на-дск-директ-за-бизнес-клиенти,https://dskbank.bg/en/business-clients/small-and-medium-business/electronic-banking/dsk-direct-internet,MATCHED,10835.0
10556,https://dskbank.bg/бизнес-клиенти/моят-бизнес/електронно-банкиране/банкиране-с-multicash,https://dskbank.bg/en/business-clients/small-and-medium-business/electronic-banking/banking-with-multicash,MATCHED,10818.0
10575,https://dskbank.bg/бизнес-клиенти/моят-бизнес/електронно-банкиране/dsk-mtoken,https://dskbank.bg/en/business-clients/small-and-medium-business/electronic-banking/dsk-mtoken,MATCHED,10819.0
10541,https://dskbank.bg/бизнес-клиенти/моят-бизнес/бизнес-карти/бизнес-кредитни-карти/детайли-за-бизнес-кредитни-карти/бизнес-клиенти/visa-business-gold,,UNMATCHED,
